Commit Hash,ClassQualifiedName,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.MyDialogFragment,0,0,0
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.PadActivity,0,0,0
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.PaintView,0,0,0
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.PenConfigActionProvider,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.smart_tag_app.MediaUtils,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.smart_tag_app.SmartTagTask,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.BgConfigActionProvider,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.CanvasFragment,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.MyDialogFragment,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.PadActivity,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.PaintView,0,0,0
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.PenConfigActionProvider,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.smart_tag_app.MediaUtils,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.smart_tag_app.SmartTagTask,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.BgConfigActionProvider,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.CanvasFragment,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.MyDialogFragment,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.PadActivity,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.PaintView,0,0,0
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.PenConfigActionProvider,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.smart_tag_app.MediaUtils,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.smart_tag_app.SmartTagTask,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.BgConfigActionProvider,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.CanvasFragment,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.MyDialogFragment,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.PadActivity,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.PaintView,0,0,0
9a91a92589d146e3b2758ba17624d699f2fb6c99,org.zakky.memopad.PenConfigActionProvider,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.smart_tag_app.MediaUtils,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.smart_tag_app.SmartTagTask,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.BgConfigActionProvider,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.CanvasFragment,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.MyDialogFragment,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.PadActivity,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.PaintView,0,0,0
d34124f42d2d650bf3007f7f726e181345940a77,org.zakky.memopad.PenConfigActionProvider,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.smart_tag_app.MediaUtils,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.smart_tag_app.SmartTagAppActivity,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.smart_tag_app.SmartTagTask,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.BgConfigActionProvider,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.CanvasFragment,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.MyDialogFragment,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.PadActivity,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.PaintView,0,0,0
4c62368fb4eed4bcb655e4103dde4be54c06c3f3,org.zakky.memopad.PenConfigActionProvider,0,0,0
