Commit Hash,ClassQualifiedName,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.MensaEssen,0,0,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.PictureThread,0,0,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.RatingThread,0,0,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodActivity,0,0,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodApi,0,0,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodMain,0,0,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodSettings,0,0,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodThread,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.ApplicationTest,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,com.buzzingandroid.tabswipe.TabSwipeActivity,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Bewertung,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CommentFragment,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CommentThread,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CustomMultiPartEntity,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Hauptgericht,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.HttpMultipartClient,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Kommentar,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MealActivity,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MealFragment,0,0,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MensaEssen,0,0,0
