Commit Hash,MethodQualifiedName,Decor_Feature_Envy,Decor_long_Method
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.MealFragment.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.MealFragment.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.MealFragment.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.MealFragment.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.PictureThread.PictureThread,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.PictureThread.PictureThread,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.PictureThread.PictureThread,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.PictureThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.PictureThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread.RatingThread,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.RatingThread.run,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onCreate,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onSharedPreferenceChanged,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onSaveInstanceState,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onCreateOptionsMenu,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onOptionsItemSelected,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.fillspeiseplan,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.fillspeiseplanReturn,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onClick,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.startMeal,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.bewerten,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodActivity.onDestroy,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodApi.getChildNode,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodApi.SigfoodApi,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodApi.SigfoodApi,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodMain.main,0,0
ebacfa63c991216c88c1861aa63c88ba8773c4a9,de.sigfood.SigfoodSettings.onCreate,0,0
