Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.Kommentar,6,0,1,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.MealActivity,218,40,37,33
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.MealFragment,213,0,19,19
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.MensaEssen,7,0,3,0
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.PictureThread,124,0,15,10
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.RatingThread,67,0,14,11
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodActivity,279,41,37,40
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodApi,144,3,14,11
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodMain,8,0,0,2
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodSettings,17,6,3,4
2fef00c208554c294177a38f8a2aa10d42696166,de.sigfood.SigfoodThread,83,0,7,10
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.ApplicationTest,8,0,2,1
7b0273b96f4db6f86b4728583e068ce7efdc0b97,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Bewertung,6,0,1,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CommentFragment,72,0,13,18
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CommentThread,75,0,14,11
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.CustomMultiPartEntity,40,0,6,5
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Hauptgericht,11,0,2,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.HttpMultipartClient,251,75,12,52
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.Kommentar,6,0,1,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MealActivity,218,40,37,33
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MealFragment,213,0,19,19
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.MensaEssen,7,0,3,0
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.PictureThread,124,0,15,10
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.RatingThread,67,0,14,11
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodActivity,279,41,37,40
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodApi,144,3,14,11
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodMain,8,0,0,2
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodSettings,17,6,3,4
7b0273b96f4db6f86b4728583e068ce7efdc0b97,de.sigfood.SigfoodThread,83,0,7,10
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.ApplicationTest,8,0,2,1
b19c7ec4e209e5a670c51455269fa5ffc71bc833,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.Bewertung,6,0,1,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.CommentFragment,72,0,13,18
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.CommentThread,75,0,14,11
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.CustomMultiPartEntity,40,0,6,5
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.Hauptgericht,11,0,2,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.HttpMultipartClient,251,75,12,52
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.Kommentar,6,0,1,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.MealActivity,218,40,37,33
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.MealFragment,213,0,19,19
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.MensaEssen,7,0,3,0
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.PictureThread,124,0,15,10
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.RatingThread,67,0,14,11
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodActivity,279,41,37,40
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodApi,144,3,14,11
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodMain,8,0,0,2
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodSettings,17,6,3,4
b19c7ec4e209e5a670c51455269fa5ffc71bc833,de.sigfood.SigfoodThread,83,0,7,10
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.ApplicationTest,8,0,2,1
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,com.buzzingandroid.tabswipe.TabSwipeActivity,95,0,14,7
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.Bewertung,6,0,1,0
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.CommentFragment,72,0,13,18
c884d5c85aa64b24fd45ae171425d9b2293e8b1e,de.sigfood.CommentThread,75,0,14,11
