Commit Hash,ClassQualifiedName,LOC,LCOM,CBO,WMC
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.CanvasFragment,117,56,8,25
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.MyDialogFragment,35,0,9,6
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.PadActivity,179,100,15,29
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.PaintView,265,137,26,48
b6c068312dc3f955adec494f1e287cfa2295ebf0,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.CanvasFragment,117,56,8,25
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.MyDialogFragment,35,0,9,6
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.PadActivity,179,100,15,29
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.PaintView,265,137,26,48
1cdf01f1ce53a9e800b8d97796c8b9a18af405d3,org.zakky.memopad.PenConfigActionProvider,131,0,9,32
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.smart_tag_app.MediaUtils,91,10,10,15
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.smart_tag_app.SmartTagAppActivity,121,0,18,16
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.smart_tag_app.SmartTagTask,35,4,5,8
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.BgConfigActionProvider,112,0,7,26
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.CanvasFragment,117,56,8,25
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.MyDialogFragment,35,0,9,6
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.PadActivity,179,100,15,29
0ea8e817d907e833f7cbf0fed8db7dd7b768f5df,org.zakky.memopad.PaintView,265,137,26,48
