Commit Hash,ClassQualifiedName,DW_Smell,IDS_Smell,IS_Smell,LT_Smell,MIM_Smell
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.AppCompatPreferenceActivity,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.CustomMediaPlayer,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.CustomMediaPlayer,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.ExoControllerView,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.MainActivity,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.MediaService,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.MediaService,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.VideoControllerView,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.VideoControllerView,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.VideoControllerView,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.database.ServerListContract,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.database.ServerListContract,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.database.ServerListHelper,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.privacyPolicy,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.utils,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.videoPlayer,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.viewMod,0,0,0,0,0
a7226670448787d3cf6f4a01c80278f264e1b159,io.github.powerinside.syncplay.ExampleUnitTest,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.ApplicationTest,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.AboutActivity,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.AppCompatPreferenceActivity,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.CustomMediaPlayer,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.CustomMediaPlayer,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.ExoControllerView,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.MainActivity,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.MediaService,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.MediaService,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.MediaSourceDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.UserListDialogFragment,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.VideoControllerView,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.VideoControllerView,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.VideoControllerView,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.database.ServerListContract,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.database.ServerListContract,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.database.ServerListHelper,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.privacyPolicy,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.utils,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.videoPlayer,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.viewMod,0,0,0,0,0
064a0ec00144362dd1e3e60a5c756e6dd68c2075,io.github.powerinside.syncplay.ExampleUnitTest,0,0,0,0,0
cedefcb34a78270799a4f64311604bccab91576c,io.github.powerinside.syncplay.ApplicationTest,0,0,0,0,0
cedefcb34a78270799a4f64311604bccab91576c,io.github.powerinside.syncplay.AboutActivity,0,0,0,0,0
cedefcb34a78270799a4f64311604bccab91576c,io.github.powerinside.syncplay.AppCompatPreferenceActivity,0,0,0,0,0
cedefcb34a78270799a4f64311604bccab91576c,io.github.powerinside.syncplay.CustomMediaPlayer,0,0,0,0,0
