Commit,Decor_Spaghetti_Code,Decor_Large_Class,Decor_Complex_Class
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.41,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.42,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.43,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.44,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.45,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.46,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
0.47,5.67,7.33,1.33
