Commit,LOC,LCOM,CBO,WMC
0.4,10796.29,7871.91,1025.19,2198.35
0.4,10877.63,7932.18,1032.78,2215.06
0.4,10877.63,7932.18,1032.78,2215.06
0.4,10877.63,7932.18,1032.78,2215.06
0.4,10959.43,7995.41,1040.26,2231.92
0.4,10959.43,7995.41,1040.26,2231.92
0.41,10959.43,7995.41,1040.26,2231.92
0.41,10959.43,7995.41,1040.26,2231.92
0.41,11038.5,8059.41,1047.35,2248.41
0.4,11099.03,8103.74,1052.23,2257.93
0.4,11253.12,8224.98,1066.19,2288.42
0.39,11429.17,8359.14,1082.36,2323.44
0.39,11429.17,8359.14,1082.36,2323.44
0.4,11429.17,8359.14,1082.36,2323.44
0.4,11429.17,8359.14,1082.36,2323.44
0.4,11429.17,8359.14,1082.36,2323.44
0.4,11518.96,8429.73,1090.57,2341.83
0.4,11614.46,8499.15,1099.49,2361.19
0.39,11698.59,8569.24,1105.95,2377.7
0.4,11698.59,8569.24,1105.95,2377.7
0.39,11766.68,8622.86,1112.73,2392.61
0.39,11775.75,8647.45,1119.78,2400.42
0.39,11775.75,8647.45,1119.78,2400.42
0.39,11775.75,8647.45,1119.78,2400.42
0.4,11775.75,8647.45,1119.78,2400.42
0.4,11775.75,8647.45,1119.78,2400.42
0.4,11783.81,8664.13,1123.86,2398.75
0.39,11857.57,8723.32,1130.28,2413.83
0.39,11931.02,8784.58,1135.98,2427.82
0.39,12016.84,8856.16,1143.83,2444.78
0.39,12016.84,8856.16,1143.83,2444.78
0.39,12016.84,8856.16,1143.83,2444.78
0.38,12200.8,9012.45,1160.81,2483.67
0.39,12200.8,9012.45,1160.81,2483.67
0.39,12200.8,9012.45,1160.81,2483.67
0.38,12315.41,9097.35,1171.62,2507.0
0.38,12403.96,9111.64,1180.52,2522.54
0.38,12473.16,9172.53,1187.76,2538.67
0.38,12473.16,9172.53,1187.76,2538.67
0.38,12473.16,9172.53,1187.76,2538.67
0.38,12473.16,9172.53,1187.76,2538.67
0.39,12473.16,9172.53,1187.76,2538.67
0.39,12473.16,9172.53,1187.76,2538.67
0.39,12473.16,9172.53,1187.76,2538.67
0.39,12473.16,9172.53,1187.76,2538.67
0.39,12473.16,9172.53,1187.76,2538.67
0.39,12531.92,9241.15,1193.31,2552.76
0.39,12531.92,9241.15,1193.31,2552.76
0.39,12531.92,9241.15,1193.31,2552.76
0.39,12649.7,9330.57,1204.59,2576.7
0.39,12649.7,9330.57,1204.59,2576.7
0.39,12649.7,9330.57,1204.59,2576.7
0.39,12546.23,9326.25,1209.45,2575.24
0.38,12642.57,9446.85,1226.13,2591.17
0.38,12642.57,9446.85,1226.13,2591.17
0.38,12642.57,9446.85,1226.13,2591.17
0.38,12699.08,9512.02,1228.94,2602.28
0.38,12699.08,9512.02,1228.94,2602.28
0.38,12699.08,9512.02,1228.94,2602.28
0.39,12699.08,9512.02,1228.94,2602.28
0.39,12699.08,9512.02,1228.94,2602.28
0.39,12699.08,9512.02,1228.94,2602.28
0.39,12723.61,9529.27,1238.15,2604.34
0.39,12723.61,9529.27,1238.15,2604.34
0.38,12847.08,9627.18,1249.83,2630.12
0.38,12847.08,9627.18,1249.83,2630.12
0.39,12847.08,9627.18,1249.83,2630.12
0.39,12847.08,9627.18,1249.83,2630.12
0.38,12956.65,9720.92,1259.21,2651.19
0.39,12956.65,9720.92,1259.21,2651.19
0.39,12956.65,9720.92,1259.21,2651.19
