Commit,DW_Smell,IDS_Smell,IS_Smell,LT_Smell,MIM_Smell
0.37,0.09,0.09,0.5,0.05,14.4
0.36,0.09,0.09,0.51,0.05,14.62
0.36,0.09,0.09,0.51,0.05,14.78
0.36,0.09,0.09,0.51,0.05,14.78
0.37,0.09,0.09,0.51,0.05,14.78
0.36,0.09,0.09,0.52,0.05,14.95
0.36,0.1,0.1,0.52,0.05,15.04
0.36,0.1,0.1,0.53,0.05,15.13
0.37,0.1,0.1,0.53,0.05,15.13
0.37,0.1,0.1,0.53,0.05,15.13
0.38,0.1,0.1,0.53,0.05,15.13
0.38,0.1,0.1,0.53,0.05,15.13
0.39,0.1,0.1,0.53,0.05,15.13
0.39,0.1,0.1,0.53,0.05,15.22
0.39,0.1,0.1,0.53,0.05,15.22
0.39,0.1,0.1,0.54,0.05,15.13
0.39,0.1,0.1,0.54,0.04,15.18
0.39,0.1,0.1,0.54,0.04,15.18
0.39,0.1,0.1,0.54,0.04,15.24
0.39,0.1,0.1,0.55,0.04,15.41
0.39,0.1,0.1,0.55,0.04,15.5
0.4,0.1,0.1,0.55,0.04,15.5
0.39,0.1,0.1,0.55,0.04,15.57
0.38,0.1,0.1,0.56,0.05,15.85
0.38,0.1,0.1,0.56,0.05,15.94
0.38,0.11,0.11,0.57,0.05,16.02
0.38,0.11,0.11,0.57,0.05,16.11
0.38,0.11,0.11,0.58,0.05,16.32
0.38,0.11,0.11,0.58,0.05,16.32
0.38,0.11,0.11,0.58,0.05,16.42
0.39,0.11,0.11,0.58,0.05,16.42
0.39,0.11,0.11,0.59,0.05,16.5
0.39,0.11,0.11,0.59,0.05,16.5
0.39,0.11,0.11,0.59,0.05,16.5
0.4,0.11,0.11,0.59,0.05,16.5
0.4,0.11,0.11,0.59,0.05,16.5
0.4,0.1,0.11,0.59,0.05,16.66
0.4,0.1,0.11,0.59,0.05,16.66
0.4,0.1,0.11,0.6,0.05,16.77
0.4,0.1,0.11,0.6,0.05,16.89
0.39,0.11,0.11,0.61,0.05,17.06
0.4,0.11,0.11,0.61,0.05,17.06
0.4,0.11,0.11,0.61,0.05,17.12
0.4,0.11,0.11,0.61,0.05,17.12
0.4,0.09,0.12,0.41,0.05,16.45
0.4,0.09,0.12,0.41,0.05,16.57
0.4,0.09,0.12,0.41,0.05,16.57
0.4,0.09,0.12,0.42,0.05,16.67
0.4,0.09,0.12,0.42,0.05,16.67
0.4,0.09,0.12,0.42,0.05,16.79
0.4,0.09,0.12,0.43,0.05,17.02
0.4,0.09,0.12,0.43,0.05,17.02
0.4,0.09,0.12,0.43,0.05,17.02
0.4,0.09,0.12,0.43,0.05,17.14
0.4,0.09,0.12,0.43,0.05,17.14
0.4,0.09,0.12,0.43,0.05,17.26
0.41,0.09,0.12,0.43,0.05,17.26
0.4,0.09,0.12,0.44,0.05,17.39
0.4,0.09,0.12,0.44,0.05,17.52
0.4,0.09,0.12,0.44,0.05,17.64
0.4,0.09,0.12,0.44,0.05,17.64
0.4,0.09,0.12,0.45,0.05,17.73
0.4,0.09,0.13,0.45,0.06,17.83
0.4,0.1,0.13,0.45,0.06,17.95
0.4,0.1,0.13,0.46,0.06,18.1
0.4,0.1,0.13,0.46,0.06,18.1
0.4,0.1,0.13,0.46,0.06,18.1
0.4,0.1,0.13,0.46,0.06,18.24
0.4,0.1,0.13,0.46,0.06,18.24
0.41,0.1,0.13,0.46,0.06,18.24
0.41,0.1,0.13,0.46,0.06,18.24
0.41,0.1,0.13,0.46,0.06,18.38
0.4,0.1,0.13,0.47,0.06,18.5
0.4,0.1,0.13,0.47,0.06,18.75
0.39,0.1,0.14,0.47,0.06,19.01
0.39,0.1,0.14,0.47,0.06,19.01
0.4,0.1,0.14,0.47,0.06,19.01
0.4,0.1,0.14,0.47,0.06,19.01
0.4,0.1,0.14,0.47,0.06,19.01
0.4,0.1,0.14,0.47,0.06,19.16
0.4,0.1,0.14,0.47,0.06,19.33
0.39,0.1,0.14,0.48,0.06,19.49
0.4,0.1,0.14,0.48,0.06,19.49
0.39,0.11,0.14,0.47,0.06,19.61
0.39,0.11,0.14,0.48,0.06,19.65
0.39,0.11,0.14,0.48,0.06,19.65
0.39,0.11,0.14,0.48,0.06,19.65
0.4,0.11,0.14,0.48,0.06,19.65
0.4,0.11,0.14,0.48,0.06,19.65
0.4,0.11,0.14,0.48,0.06,19.62
0.39,0.11,0.14,0.48,0.05,19.75
0.39,0.11,0.15,0.48,0.05,19.86
0.39,0.11,0.15,0.49,0.06,20.03
0.39,0.11,0.15,0.49,0.06,20.03
0.39,0.11,0.15,0.49,0.06,20.03
0.38,0.1,0.15,0.5,0.06,20.39
0.39,0.1,0.15,0.5,0.06,20.39
0.39,0.1,0.15,0.5,0.06,20.39
0.38,0.1,0.15,0.5,0.06,20.58
0.38,0.1,0.15,0.5,0.06,20.66
0.38,0.11,0.15,0.51,0.06,20.82
0.38,0.11,0.15,0.51,0.06,20.82
0.38,0.11,0.15,0.51,0.06,20.82
0.38,0.11,0.15,0.51,0.06,20.82
0.39,0.11,0.15,0.51,0.06,20.82
0.39,0.11,0.15,0.51,0.06,20.82
0.39,0.11,0.15,0.51,0.06,20.82
0.39,0.11,0.15,0.51,0.06,20.82
0.39,0.11,0.15,0.51,0.06,20.82
0.39,0.11,0.16,0.51,0.06,20.98
0.39,0.11,0.16,0.51,0.06,20.98
0.39,0.11,0.16,0.51,0.06,20.98
0.39,0.11,0.16,0.52,0.06,21.17
0.39,0.11,0.16,0.52,0.06,21.17
0.39,0.11,0.16,0.52,0.06,21.17
0.39,0.11,0.16,0.52,0.06,20.9
0.38,0.11,0.16,0.54,0.06,20.94
0.38,0.11,0.16,0.54,0.06,20.94
0.38,0.11,0.16,0.54,0.06,20.94
